chunk,phrase_type,word_order
cc mark nsubj root obl det obl,subordinate_clause,spo
punct advmod conj det nsubj,adverbial_clause,s
cc nsubj root,main_clause,sp
case obl punct cc nsubj conj advmod cc conj advmod,prepositional_phrase,osv
cc advmod nsubj advmod aux advcl aux:pass nsubj attr aux,subordinate_clause,sv
ccomp punct advmod root nsubj det obl pobj,adverbial_clause,pso
cc conj obj amod obj cc conj advmod obl det pobj cc conj obl,adverbial_clause,sov
cc mark nsubj aux advcl,subordinate_clause,sv
punct mark advcl nsubj case det obl nmod:poss nummod amod nmod cc conj punct cc nsubj root,prepositional_phrase,sop
case obl punct cc conj obj,prepositional_phrase,unknown
cc advmod nsubj obj root,adverbial_clause,sp
punct advmod conj cc conj nsubj obj cc conj amod obj case obl ccomp nsubj det obj acl:relcl,prepositional_phrase,sov
amod vocative punct root nsubj obl pobj,noun_phrase,pso
punct obj nsubj aux iobj nsubj,unknown_chunk,svo
ccomp punct nsubj ccomp obj xcomp obl pobj cc advmod conj nsubj case advcl det nsubj obj aux advmod,prepositional_phrase,sov
ccomp cc conj neg ccomp advmod,adverbial_clause,unknown
cc case obl mark nsubj advmod advcl case obl punct advmod root nummod nsubj,prepositional_phrase,osp
case obl advmod xcomp punct ref acl:relcl case obl amod det amod obj,prepositional_phrase,osv
nsubj aux advmod advmod xcomp obl pobj,adverbial_clause,svo
mark nsubj det obj obl det pobj neg ccomp xcomp root,subordinate_clause,sop
cc nsubj det det obj root acl,noun_phrase,sop
acl:relcl obj obl det pobj cc conj advmod,adverbial_clause,svo
cc advmod nsubj advcl case obl punct advmod root nsubj,prepositional_phrase,sop
punct voc punct nsubj ccomp advmod det obj cc det det obj obj nsubj acl:relcl cc det det obj cc det det obj mark nsubj case obl aux obj,prepositional_phrase,sov
punct mark nsubj case amod obl advcl advmod nsubj conj case det attr,prepositional_phrase,sov
advmod aux nsubj det obj,adverbial_clause,vso
case det obl root,prepositional_phrase,osp
cc nsubj root det obj,noun_phrase,spo
mark advmod advcl case det obl nsubj obl advmod acl:relcl mark nsubj case det obl advmod advmod amod obj aux,prepositional_phrase,osv
ccomp X,complement_clause,sv
cc obl det obl obj nsubj obl case acl punct advmod conj obl amod obj obl case det obl det obj punct obl obj aux root,prepositional_phrase,osp
cc root det nsubj mark nsubj det obj advmod xcomp,subordinate_clause,pso
ccomp punct mark nsubj obj advcl,subordinate_clause,sov
voc punct parataxis nsubj punct advmod root nsubj,adverbial_clause,sp
mark nsubj advmod obl cc conj ccomp,subordinate_clause,so
case nmod:poss obl punct root nsubj,prepositional_phrase,ops
punct advmod nsubj ccomp punct det nsubj parataxis advmod advmod cc conj det obj nsubj det obj ccomp case det obl,prepositional_phrase,sov
discourse det obl obl pobj root nsubj obl pobj,noun_phrase,ops
conj obj obl det pobj advmod conj obj det obj,adverbial_clause,ovs
cc advmod root obj nmod:poss det obj advmod,adverbial_clause,pso
cc conj iobj det obj cc conj obj case obl det obj ccomp punct mark nsubj case det obl advmod advcl xcomp,prepositional_phrase,osv
cc mark nsubj case obj det advcl mark nsubj det amod obj xcomp ccomp punct mark root nsubj,prepositional_phrase,sop
punct amod voc punct ccomp nsubj advmod xcomp case obl case nmod nmod obl det nmod voc punct conj nsubj punct case obl ccomp nsubj advmod advmod,prepositional_phrase,sov
