chunk,phrase_type,word_order
nsubj nummod nsubj root,main_clause,sp
case obl nmod:poss mark acl:relcl,prepositional_phrase,sov
root nsubj,main_clause,ps
cc conj mark acl:relcl case obl nmod:poss mark advcl nsubj case obl nmod:poss mark acl:relcl cc conj case obl mark advmod advmod cc conj conj cc conj obj nmod:poss case obl,prepositional_phrase,osv
cc root mark acl:relcl,subordinate_clause,ps
case obl nmod:poss xcomp case det obl mark acl:relcl nsubj obj cc conj cc conj obj nmod:poss cc conj xcomp obj case obl mark fixed advcl case obl cc mark conj obj mark case acl:relcl nmod:poss xcomp case obl obj cc conj case obl obj cc conj case obl case case obl cc aux,prepositional_phrase,osv
conj case obl obj case obl advcl nsubj mark acl:relcl punct parataxis flat flat punct appos compound compound cc advmod conj obj case nmod mark ccomp nmod:poss,prepositional_phrase,osv
cc advmod nsubj compound mark advcl case obl root,prepositional_phrase,sop
case obl cc advmod conj case obl obj cc nsubj conj det compound mark acl:relcl csubj case obl det compound case det obl mark acl:relcl punct parataxis flat nummod punct cc conj case det nmod,prepositional_phrase,osv
nsubj det compound root,noun_phrase,sp
mark nsubj advcl xcomp obj cc conj case obj case obl det compound cc advmod conj case obl compound det amod cc advmod case conj det compound det det cc det conj cc conj obj advmod cop,prepositional_phrase,sov
ccomp case obl det compound conj nsubj nmod:poss mark acl:relcl punct parataxis nummod nummod punct advmod cop,prepositional_phrase,osv
case obl conj cc conj mark acl:relcl nsubj nmod:poss punct,prepositional_phrase,ovs
cc det root det amod cc det conj appos det compound mark nsubj det compound acl:relcl,subordinate_clause,ps
case det obl advmod,prepositional_phrase,unknown
advmod advcl case obl nsubj amod cc conj cc conj compound advmod root,prepositional_phrase,osp
case obl advmod cc case obl compound mark advmod case obl acl:relcl case fixed obl compound nmod:poss cc advmod mark conj case obl nsubj cc conj case obl conj obj cc aux,prepositional_phrase,osv
conj case obl mark advmod ccomp case obl nmod:poss advmod ccomp mark ccomp nsubj nmod:poss,prepositional_phrase,ovs
nsubj det compound cop root mark nsubj compound amod case nmod det compound cc case fixed nsubj advcl,prepositional_phrase,sp
case obl compound compound conj case det obl compound cc det nsubj aux,prepositional_phrase,osv
conj det nsubj case obl cc mark advcl advmod obj case nmod conj det nsubj mark nsubj acl:relcl case det nmod cc conj nsubj advmod ccomp xcomp case obl obj mark fixed advcl case obl case obl nsubj acl case obl case obl nmod:poss cc advmod mark conj obj case obl cc conj xcomp cc advmod conj cc conj,prepositional_phrase,sov
case obl root nsubj amod advmod obj amod,prepositional_phrase,ops
acl:relcl obj conj obj case obl nmod:poss cc case conj nmod:poss cc case det conj mark fixed cop advcl,prepositional_phrase,ovs
case obl cc conj case obl nmod:poss conj case det obl,prepositional_phrase,ovs
root case obl,prepositional_phrase,pso
case obl flat flat flat mark advmod acl:relcl obj compound case nmod advmod cc cop,prepositional_phrase,osv
conj case obl cc case conj case nmod compound amod case nmod det compound cc case conj cc det nsubj mark nsubj acl:relcl obj case obl compound nmod:poss conj mark ccomp punct parataxis nummod nummod punct nsubj compound mark case case acl:relcl case det obj amod,prepositional_phrase,osv
nsubj mark acl:relcl case obl nsubj cc conj case obl nsubj amod case nmod mark acl:relcl case obl nsubj det compound cc conj det compound advmod root,prepositional_phrase,sop
